FECHACORTE;FECHAREGISTRO;CODIGO;NOMBRE;CATEGORIA;NIVEL;INSTITUCIÓN;GRUPO;SUB_GRUPO;MACROREGIONES;UBIGEO;REGION;PROVINCIA;DISTRITO;CIL_TOT_CILINDROS;CIL_TOT_PROPIOS;CIL_TOT_TERCEROS;CIL_VOL_POT_MT3;CIL_NU_CIL_LLEN_INI_DU24;CIL_NU_CIL_REABAST_DU24;CIL_VOL_DISP_M3_DU24;CIL_NU_CIL_CONSUM_CU24;CIL_VOL_M3_CU24;CIL_SAL_FIN_M3_CU24
20210331;31/03/2021 13:52;2289;HOSPITAL DE APOYO DEPARTAMENTAL CUSCO;III-1;Nivel 3;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Sur;80101;CUSCO;CUSCO;CUSCO;445;345;100;4420;131;135;2660;150;1500;1160
20210331;31/03/2021 07:54;18985;CLINICA SANTA MARTHA DEL SUR;II-2;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150133;LIMA;LIMA;SAN JUAN DE MIRAFLORES;29;0;29;1450;21;5;1275;6;640;635
20210331;31/03/2021 08:54;5277;HOSPITAL PROVINICIAL DE CASCAS;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Norte;131101;LA LIBERTAD;GRAN CHIMU;CASCAS;35;35;0;248;4;9;108;5;36;72
20210331;31/03/2021 08:09;11592;CLINICA HUANUCO E-I-R-LTDA.;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Oriente;100101;HUANUCO;HUANUCO;HUANUCO;12;12;0;120;8;0;80;1;10;70
20210331;31/03/2021 11:32;10185;HOSPITAL III DANIEL ALCIDES CARRIÃ“N;II-2;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Sur;230103;TACNA;TACNA;CALANA;141;15;126;987;141;0;987;67;469;518
20210331;31/03/2021 08:40;6615;REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;III-E;Nivel 3;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Centro;120101;JUNIN;HUANCAYO;HUANCAYO;100;20;80;1000;35;0;350;6;60;290
20210331;31/03/2021 17:35;980;ERNESTO GERMAN GUZMÃN GONZALES;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Centro;190301;PASCO;OXAPAMPA;OXAPAMPA;88;50;38;880;28;8;360;3;30;330
20210331;31/03/2021 07:47;5395;AGUAYTIA;I-4;Nivel 1;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Oriente;250301;UCAYALI;PADRE ABAD;PADRE ABAD;;;;;;;;;;
20210331;31/03/2021 08:01;1516;HOSPITAL DE APOYO CARHUAZ;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Centro;20601;ANCASH;CARHUAZ;CARHUAZ;23;23;0;206;16;0;156;9;90;66
20210331;31/03/2021 07:48;14262;CENTRO MEDICO ESPECIALIZADO VERONESI SAC;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Centro;150801;LIMA;HUAURA;HUACHO;1;0;1;10;1;0;10;0;0;10
20210331;31/03/2021 08:17;8746;CLINICA GOOD HOPE;II-2;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150122;LIMA;LIMA;MIRAFLORES;52;0;52;520;39;0;390;13;130;260
20210331;31/03/2021 16:59;4981;SANTA MARIA DE CUTERVO;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Norte;60601;CAJAMARCA;CUTERVO;CUTERVO;95;55;40;920;50;15;620;16;160;460
20210331;31/03/2021 11:06;10815;CLINICA AMERICANA DE JULIACA;II-1;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Sur;211101;PUNO;SAN ROMAN;JULIACA;128;4;124;739;128;0;739;7;46;693
20210331;31/03/2021 08:33;753;HOSPITAL REGIONAL DOCENTE CLINICO QUIRURGICO DANIEL ALCIDES CARRION;III-E;Nivel 3;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Centro;120101;JUNIN;HUANCAYO;HUANCAYO;42;10;32;412;42;42;824;33;322;502
20210331;31/03/2021 08:40;6213;HOSPITAL DE EMERGENCIAS JOSE CASIMIRO ULLOA;III-E;Nivel 3;MINSA;PÚBLICOS;MINSA/GR;;150122;LIMA;LIMA;MIRAFLORES;37;17;20;370;32;2;340;6;60;280
20210331;31/03/2021 17:08;10098;HOSPITAL MILITAR GERIATRICO;II-E;Nivel 2;SANIDAD DEL EJERCITO DEL PERU;PÚBLICOS;SANIDAD;;150108;LIMA;LIMA;CHORRILLOS;2;0;2;20;2;0;20;0;0;20
20210331;31/03/2021 07:58;18670;CLINICA G'STAR;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;70102;CALLAO;CALLAO;BELLAVISTA;10;10;0;100;9;1;100;1;10;90
20210331;31/03/2021 09:21;5299;HOSPITAL DE APOYO CHEPEN;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Norte;130401;LA LIBERTAD;CHEPEN;CHEPEN;96;84;12;842;39;0;390;32;320;70
20210331;31/03/2021 08:23;12761;CLINICA SAN LORENZO S.R.L.;II-1;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Norte;60101;CAJAMARCA;CAJAMARCA;CAJAMARCA;20;20;0;200;15;0;150;5;50;100
20210331;31/03/2021 05:31;21096;CLINICA ESPECIALIZADA EN CIRUGÃA PLÃSTICA SAN AGUSTIN;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150121;LIMA;LIMA;PUEBLO LIBRE;3;3;0;22;0;2;14;1;8;6
20210331;31/03/2021 10:52;8858;CLINICA ORTEGA;II-2;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Centro;120101;JUNIN;HUANCAYO;HUANCAYO;30;0;30;300;12;18;300;18;180;120
20210331;31/03/2021 17:47;11129;MAX SALUD AVISAL S.A.;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Norte;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;2;2;0;12;1500;0;9000;0;0;9000
20210331;31/03/2021 08:22;12262;CLÃNICA SANTA ROSA;II-1;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Norte;200601;PIURA;SULLANA;SULLANA;14;0;14;106;3;0;20;1;6;14
20210331;31/03/2021 11:57;5576;HOSPITAL REGIONAL DE PUCALLPA;II-2;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Oriente;250101;UCAYALI;CORONEL PORTILLO;CALLERIA;200;160;40;1600;5;195;1600;195;1560;40
20210331;31/03/2021 07:55;4074;HOSPITAL DE PAMPAS;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Sur;90701;HUANCAVELICA;TAYACAJA;PAMPAS;73;0;73;710;0;0;0;0;0;0
20210331;31/03/2021 17:59;12219;CLINICA MONTESUR;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150140;LIMA;LIMA;SANTIAGO DE SURCO;11;11;0;810;9;0;200;1;0;200
20210331;31/03/2021 08:22;8271;CLINICA SAN JUAN BAUTISTA;II-2;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150132;LIMA;LIMA;SAN JUAN DE LURIGANCHO;45;0;45;450;9;5;140;4;40;100
20210331;31/03/2021 17:46;4440;HOSPITAL REFERENCIAL FERREÃ‘AFE;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Norte;140201;LAMBAYEQUE;FERREÃ‘AFE;FERREÃ‘AFE;17;17;0;168;15;0;150;5;50;100
20210331;31/03/2021 19:34;11214;HOSPITAL I SANTA MARGARITA;II-1;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Sur;30201;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;50;10;40;500;37;12;490;4;40;450
20210331;31/03/2021 08:49;9040;HOSPITAL I - LA ESPERANZA;II-1;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Norte;130105;LA LIBERTAD;TRUJILLO;LA ESPERANZA;16;8;8;160;14;2;160;2;20;140
20210331;31/03/2021 12:01;10299;CENTRO DE ATENCION PRIMARIA II SAN IGNACIO;I-2;Nivel 1;ESSALUD;PÚBLICOS;ESSALUD;Zona Norte;60901;CAJAMARCA;SAN IGNACIO;SAN IGNACIO;40;20;20;280;20;20;280;2;12;268
20210331;31/03/2021 10:44;1866;CLAS CORRALES;I-4;Nivel 1;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Norte;240102;TUMBES;TUMBES;CORRALES;17;12;5;170;5;3;80;3;30;50
20210331;31/03/2021 14:54;6219;HOSPITAL SAN JOSE;II-2;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;;70103;CALLAO;CALLAO;CARMEN DE LA LEGUA-REYNOSO;81;81;0;810;52;0;520;16;160;360
20210331;31/03/2021 05:51;9747;HOSPITAL II PASCO;II-2;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Centro;190109;PASCO;PASCO;SIMON BOLIVAR;126;26;100;1260;14;0;140;5;50;90
20210331;31/03/2021 08:01;10267;HOSPITAL I ESSALUD-SULLANA;I-4;Nivel 1;ESSALUD;PÚBLICOS;ESSALUD;Zona Norte;200601;PIURA;SULLANA;SULLANA;45;23;22;264;26;0;156;6;62;94
20210331;31/03/2021 06:44;7874;CLINICA FEIJOO EIRL;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Norte;240101;TUMBES;TUMBES;TUMBES;2;2;0;14;2;0;14;0;0;14
20210331;31/03/2021 10:17;7636;HOSPITAL DE SUPE LAURA ESTHER RODRIGUEZ DULANTO;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Centro;150204;LIMA;BARRANCA;SUPE;40;40;0;336;0;16;96;14;84;12
20210331;31/03/2021 12:27;11775;HOSPITAL II DE HUAMANGA;II-1;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Sur;50110;AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;684;580;104;6840;169;100;2690;91;910;1780
20210331;31/03/2021 07:16;9483;OCULASER SAC;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150101;LIMA;LIMA;LIMA;1;1;0;8;1;0;8;0;0;8
20210331;31/03/2021 20:35;2469;SAN JUAN DE KIMBIRI-VRAEM;II-E;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Sur;80907;CUSCO;LA CONVENCION;KIMBIRI;54;48;6;524;28;20;464;28;270;194
20210331;31/03/2021 08:06;1231;HOSPITAL REGIONAL HONORIO DELGADO ESPINOZA;III-1;Nivel 3;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Sur;40101;AREQUIPA;AREQUIPA;AREQUIPA;175;150;25;1720;0;17;170;17;170;0
20210331;31/03/2021 09:18;5375;HOSPITAL PROVINCIAL DE TAYABAMBA;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Norte;130801;LA LIBERTAD;PATAZ;TAYABAMBA;51;51;0;426;33;2;348;2;20;328
20210331;31/03/2021 06:42;17883;HOSPITAL DE REHABILITACION DEL CALLAO;II-E;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;;70102;CALLAO;CALLAO;BELLAVISTA;16;16;0;160;6;0;60;1;10;50
20210331;31/03/2021 07:30;2300;SAN JERONIMO;I-4;Nivel 1;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Sur;80104;CUSCO;CUSCO;SAN JERONIMO;6;6;0;30;6;0;30;0;6;24
20210331;31/03/2021 02:56;9068;HOSPITAL I HEROES DEL CENEPA;II-1;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Norte;10201;AMAZONAS;BAGUA;BAGUA;50;18;32;470;2;0;20;1;10;10
20210331;31/03/2021 06:13;9089;ONCOGYN CLINICA INTEGRAL;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150113;LIMA;LIMA;JESUS MARIA;2;2;0;12;1;0;6;0;0;6
20210331;31/03/2021 07:08;8024;CLINICA CAYETANO HEREDIA;II-1;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Centro;120114;JUNIN;HUANCAYO;EL TAMBO;10;0;10;100;7;3;100;3;30;70
20210331;31/03/2021 07:12;9066;HOSPITAL HIGOS URCO;II-1;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Norte;10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;195;141;54;1944;89;8;964;20;200;764
20210331;31/03/2021 07:12;16830;CLINICA CAMINO REAL;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Norte;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;18;18;0;180;9;0;90;1;10;80
20210331;31/03/2021 07:16;11396;ADMINISTRADORA CLINICA TRESA;II-1;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Norte;200701;PIURA;TALARA;PARIÃ‘AS;20;0;20;200;0;0;0;0;0;0
20210331;31/03/2021 07:22;5226;HOSPITAL DISTRITAL JERUSALEN;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Norte;130105;LA LIBERTAD;TRUJILLO;LA ESPERANZA;36;25;11;356;6;0;56;3;30;26
20210331;31/03/2021 07:28;11213;SEGURO SOCIAL DE SALUD - ESSALUD;II-2;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Sur;30101;APURIMAC;ABANCAY;ABANCAY;493;423;70;4930;126;0;1260;55;550;710
20210331;31/03/2021 07:33;2698;SANTA ROSA;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Oriente;170101;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;258;238;20;1964;39;32;492;24;192;300
20210331;31/03/2021 07:45;14718;HOSPITAL GERIATRICO PNP SAN JOSE;II-E;Nivel 2;SANIDAD DE LA POLICIA NACIONAL DEL PERU;PÚBLICOS;SANIDAD;;150136;LIMA;LIMA;SAN MIGUEL;98;58;40;922;25;52;710;19;160;550
20210331;31/03/2021 07:47;2171;E.S. FRÃAS;I-3;Nivel 1;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Norte;200202;PIURA;AYABACA;FRIAS;21;16;5;162;19;0;150;2;12;138
20210331;31/03/2021 18:58;11794;HOSPITAL REGIONAL PNP AREQUIPA;II-1;Nivel 2;SANIDAD DE LA POLICIA NACIONAL DEL PERU;PÚBLICOS;SANIDAD;Zona Sur;40103;AREQUIPA;AREQUIPA;CAYMA;73;45;28;694;23;0;202;6;60;142
20210331;31/03/2021 07:48;16121;CENTRO MEDICO AVENDAÃ‘O S.A.C.;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150122;LIMA;LIMA;MIRAFLORES;8;0;8;80;6;0;60;2;20;40
20210331;31/03/2021 08:08;12572;CLINICA PAULISTA DEL PERU S.A.C (CLINICA PAULISTA DEL PERU);II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150140;LIMA;LIMA;SANTIAGO DE SURCO;2;2;0;20;2;0;20;1;10;10
20210331;31/03/2021 08:08;12995;SAN JUAN PABLO II;II-E;Nivel 2;OTRO;PÚBLICOS;OTRO;Zona Sur;80106;CUSCO;CUSCO;SANTIAGO;1;1;0;10;1;0;10;0;0;10
20210331;31/03/2021 08:08;12118;CLÃNICA MONTE HOREB S.A.;II-1;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Oriente;250101;UCAYALI;CORONEL PORTILLO;CALLERIA;13;0;13;130;12;0;120;1;10;110
20210331;31/03/2021 08:27;646;PEDRO SANCHEZ MEZA;I-4;Nivel 1;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Centro;120901;JUNIN;CHUPACA;CHUPACA;158;158;0;1078;71;0;482;0;5;477
20210331;31/03/2021 08:24;11763;HOSPITAL I MIGUEL CRUZADO VERA - PAITA;I-4;Nivel 1;ESSALUD;PÚBLICOS;ESSALUD;Zona Norte;200501;PIURA;PAITA;PAITA;63;15;48;490;20;0;152;5;50;102
20210331;31/03/2021 08:49;10063;ESSALUD SICUANI;II-1;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Sur;80601;CUSCO;CANCHIS;SICUANI;60;26;34;600;9;0;90;0;0;90
20210331;31/03/2021 08:30;13042;CLÃNICA LOS COCOS;II-1;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Norte;200101;PIURA;PIURA;PIURA;16;3;13;128;13;0;104;2;16;88
20210331;31/03/2021 17:54;17393;HOSPITAL CUAJONE DE LA SOUTHERN PERU;II-1;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Sur;180106;MOQUEGUA;MARISCAL NIETO;TORATA;37;10;27;222;32;0;192;1;6;186
20210331;31/03/2021 12:39;9215;HOSPITAL III BASE  (PUNO) - RED ASISTENCIAL PUNO;II-2;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Sur;210101;PUNO;PUNO;PUNO;456;330;126;4560;34;0;340;32;320;20
20210331;31/03/2021 18:55;8901;"ESSALUD HOSPITAL 1 ""AGUSTIN ARBULU NEYRA"" FERREÃ‘AFE";Sin CategorÃ­a;Sin CategorÃ­a;ESSALUD;PÚBLICOS;ESSALUD;Zona Norte;140206;LAMBAYEQUE;FERREÃ‘AFE;PUEBLO NUEVO;51;22;29;427;38;0;345;8;47;298
20210331;31/03/2021 09:59;10743;CLINICA STELLA MARIS;II-2;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150121;LIMA;LIMA;PUEBLO LIBRE;84;84;0;704;84;0;704;0;0;704
20210331;31/03/2021 11:05;4131;HOSPITAL SUBREGIONAL DE ANDAHUAYLAS;II-2;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Sur;30201;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;220;120;100;2200;0;36;360;36;360;0
20210331;31/03/2021 17:04;26706;CLINICA UNION SAC.;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Norte;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;15;10;5;150;13;1;140;1;10;130
20210331;31/03/2021 18:01;13494;AUNA CLINICA MIRAFLORES;II-1;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Norte;200104;PIURA;PIURA;CASTILLA;60;0;60;600;27;0;270;10;100;170
20210331;31/03/2021 20:13;28254;CLINICA SINAI;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Oriente;220801;SAN MARTIN;RIOJA;RIOJA;9;9;0;66;2;0;12;0;0;12
20210331;31/03/2021 20:21;19671;CLINICA RENACER;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150122;LIMA;LIMA;MIRAFLORES;3;3;0;26;3;0;26;0;0;26
20210331;31/03/2021 08:21;2625;TAMBOBAMBA;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Sur;30501;APURIMAC;COTABAMBAS;TAMBOBAMBA;34;34;0;328;9;0;90;0;2;88
20210331;31/03/2021 07:58;10135;HOSPITAL I CARLOS ALCANTARA BUTTERFIELD;II-1;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;;150114;LIMA;LIMA;LA MOLINA;78;42;36;696;62;16;696;21;210;486
20210331;31/03/2021 09:43;7686;HOSPITAL REGIONAL DOCENTE CAJAMARCA;II-2;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Norte;60101;CAJAMARCA;CAJAMARCA;CAJAMARCA;304;304;0;1262;269;0;982;269;982;0
20210331;31/03/2021 09:22;14092;CLINICA SANTIVAÃ‘EZ;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Norte;200101;PIURA;PIURA;PIURA;1;1;0;10;1;0;10;0;0;10
20210331;31/03/2021 11:06;754;HOSPITAL REGIONAL HERMILIO VALDIZAN;II-2;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Oriente;100101;HUANUCO;HUANUCO;HUANUCO;40;40;0;70;40;40;70;40;70;0
20210331;31/03/2021 11:28;9116;CLINICA SAN FELIPE S.A.;III-1;Nivel 3;PRIVADO;PRIVADOS;PRIVADOS;;150113;LIMA;LIMA;JESUS MARIA;70;62;8;441;62;7;361;7;7;354
20210331;31/03/2021 12:57;3299;CARLOS MONJE MEDRANO;II-2;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Sur;211101;PUNO;SAN ROMAN;JULIACA;180;180;0;1800;4;14;180;13;130;50
20210331;31/03/2021 11:31;3251;HOSPITAL REGIONAL MANUEL NUÃ‘EZ BUTRON;II-2;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Sur;210101;PUNO;PUNO;PUNO;281;235;46;2756;223;20;2354;17;168;2186
20210331;31/03/2021 19:31;3068;HOSPITAL LUCIO ALDAZABAL PAUCA;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Sur;210601;PUNO;HUANCANE;HUANCANE;72;72;0;614;28;5;204;3;30;174
20210331;31/03/2021 08:53;5948;HOSPITAL HERMILIO VALDIZAN;III-1;Nivel 3;MINSA;PÚBLICOS;MINSA/GR;;150137;LIMA;LIMA;SANTA ANITA;48;48;0;263;48;0;263;0;0;263
20210331;31/03/2021 07:58;16374;HOSP. IV AUGUSTO HERNANDEZ MENDOZA;II-2;Nivel 2;ESSALUD;PÚBLICOS;ESSALUD;Zona Sur;110101;ICA;ICA;ICA;35;0;35;255;60;3;235;2;20;215
20210331;31/03/2021 09:23;8325;CLINICA CENTENARIO PERUANO JAPONESA;II-2;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150121;LIMA;LIMA;PUEBLO LIBRE;70;55;15;340;10;28;245;3;21;224
20210331;31/03/2021 08:04;23918;CIRUGIA LAPAROSCOPICA E.I.R.LTDA (CLINICA CIRLAP);II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150116;LIMA;LIMA;LINCE;10;10;0;100;7;0;70;1;10;60
20210331;31/03/2021 10:14;14501;CLINICA SAN GABRIEL S.A.C.;II-2;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150136;LIMA;LIMA;SAN MIGUEL;66;0;66;660;13;6;190;12;120;70
20210331;31/03/2021 08:10;25160;CLIN. DANIEL A. CARRION;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;Zona Sur;110201;ICA;CHINCHA;CHINCHA ALTA;6;5;1;28;6;0;25;0;7;18
20210331;31/03/2021 08:08;26473;OBRA DE SAN CAMILO;II-E;Nivel 2;PRIVADO;PRIVADOS;PRIVADOS;;150101;LIMA;LIMA;LIMA;16;16;0;119;16;0;119;0;0;119
20210331;31/03/2021 08:21;1813;HOSPITAL DE APOYO HUARI;II-1;Nivel 2;GOBIERNO REGIONAL;PÚBLICOS;MINSA/GR;Zona Centro;21001;ANCASH;HUARI;HUARI;52;52;0;364;8;0;56;0;0;56
